"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CZ","Actual Total Load [MW] - BZN|CZ"
"30.03.2022 19:00 - 30.03.2022 20:00","8501","8662"
"30.03.2022 20:00 - 30.03.2022 21:00","8342","8405"
"30.03.2022 21:00 - 30.03.2022 22:00","7850","7863"
"30.03.2022 22:00 - 30.03.2022 23:00","7424","7414"
"30.03.2022 23:00 - 31.03.2022 00:00","7005","7031"
"31.03.2022 00:00 - 31.03.2022 01:00","6623","6704"
"31.03.2022 01:00 - 31.03.2022 02:00","6640","6716"
"31.03.2022 02:00 - 31.03.2022 03:00","6551","6644"
"31.03.2022 03:00 - 31.03.2022 04:00","6511","6612"
"31.03.2022 04:00 - 31.03.2022 05:00","6627","6696"
"31.03.2022 05:00 - 31.03.2022 06:00","7085","7226"
"31.03.2022 06:00 - 31.03.2022 07:00","8103","8320"
"31.03.2022 07:00 - 31.03.2022 08:00","8613","8879"
"31.03.2022 08:00 - 31.03.2022 09:00","8798","9134"
"31.03.2022 09:00 - 31.03.2022 10:00","9032","9353"
"31.03.2022 10:00 - 31.03.2022 11:00","9032","9348"
"31.03.2022 11:00 - 31.03.2022 12:00","9056","9323"
"31.03.2022 12:00 - 31.03.2022 13:00","9081","9443"
"31.03.2022 13:00 - 31.03.2022 14:00","8995","9411"
"31.03.2022 14:00 - 31.03.2022 15:00","8769","9168"
"31.03.2022 15:00 - 31.03.2022 16:00","8720","9194"
"31.03.2022 16:00 - 31.03.2022 17:00","8626","9079"
"31.03.2022 17:00 - 31.03.2022 18:00","8554","9086"
"31.03.2022 18:00 - 31.03.2022 19:00","8482","8844"
"31.03.2022 19:00 - 31.03.2022 20:00","8567","8964"
"31.03.2022 20:00 - 31.03.2022 21:00","8390","8666"
"31.03.2022 21:00 - 31.03.2022 22:00","7896","8191"
"31.03.2022 22:00 - 31.03.2022 23:00","7470","7695"
"31.03.2022 23:00 - 01.04.2022 00:00","7053","7282"
"01.04.2022 00:00 - 01.04.2022 01:00","6815","6576"
"01.04.2022 01:00 - 01.04.2022 02:00","6855","6543"
"01.04.2022 02:00 - 01.04.2022 03:00","6790","6476"
"01.04.2022 03:00 - 01.04.2022 04:00","6764","6515"
"01.04.2022 04:00 - 01.04.2022 05:00","6881","6594"
"01.04.2022 05:00 - 01.04.2022 06:00","7350","7071"
"01.04.2022 06:00 - 01.04.2022 07:00","8300","8078"
"01.04.2022 07:00 - 01.04.2022 08:00","8782","8557"
"01.04.2022 08:00 - 01.04.2022 09:00","9013","8842"
"01.04.2022 09:00 - 01.04.2022 10:00","9298","9073"
"01.04.2022 10:00 - 01.04.2022 11:00","9299","9082"
"01.04.2022 11:00 - 01.04.2022 12:00","9312","9048"
"01.04.2022 12:00 - 01.04.2022 13:00","9304","9046"
"01.04.2022 13:00 - 01.04.2022 14:00","9195","9040"
"01.04.2022 14:00 - 01.04.2022 15:00","8955","8783"
"01.04.2022 15:00 - 01.04.2022 16:00","8903","8817"
"01.04.2022 16:00 - 01.04.2022 17:00","8773","9065"
"01.04.2022 17:00 - 01.04.2022 18:00","8641","9033"
"01.04.2022 18:00 - 01.04.2022 19:00","8496","8785"
"01.04.2022 19:00 - 01.04.2022 20:00","8546","8794"
"01.04.2022 20:00 - 01.04.2022 21:00","8358","8439"
"01.04.2022 21:00 - 01.04.2022 22:00","7837","7877"
"01.04.2022 22:00 - 01.04.2022 23:00","7419","7375"
"01.04.2022 23:00 - 02.04.2022 00:00","7020","6992"
"02.04.2022 00:00 - 02.04.2022 01:00","6506","6534"
"02.04.2022 01:00 - 02.04.2022 02:00","6445","6408"
"02.04.2022 02:00 - 02.04.2022 03:00","6453","6401"
"02.04.2022 03:00 - 02.04.2022 04:00","6457","6522"
"02.04.2022 04:00 - 02.04.2022 05:00","6497","6576"
"02.04.2022 05:00 - 02.04.2022 06:00","6585","6665"
"02.04.2022 06:00 - 02.04.2022 07:00","6842","6927"
"02.04.2022 07:00 - 02.04.2022 08:00","7163","7311"
"02.04.2022 08:00 - 02.04.2022 09:00","7503","7755"
"02.04.2022 09:00 - 02.04.2022 10:00","7991","8198"
"02.04.2022 10:00 - 02.04.2022 11:00","8255","8574"
"02.04.2022 11:00 - 02.04.2022 12:00","8350","8701"
"02.04.2022 12:00 - 02.04.2022 13:00","8244","8525"
"02.04.2022 13:00 - 02.04.2022 14:00","8118","8303"
"02.04.2022 14:00 - 02.04.2022 15:00","7904","8173"
"02.04.2022 15:00 - 02.04.2022 16:00","7830","8034"
"02.04.2022 16:00 - 02.04.2022 17:00","7672","7929"
"02.04.2022 17:00 - 02.04.2022 18:00","7541","7778"
"02.04.2022 18:00 - 02.04.2022 19:00","7541","7680"
"02.04.2022 19:00 - 02.04.2022 20:00","7601","7726"
"02.04.2022 20:00 - 02.04.2022 21:00","7556","7694"
"02.04.2022 21:00 - 02.04.2022 22:00","7214","7328"
"02.04.2022 22:00 - 02.04.2022 23:00","6973","7058"
"02.04.2022 23:00 - 03.04.2022 00:00","6709","6739"
"03.04.2022 00:00 - 03.04.2022 01:00","6401","6382"
"03.04.2022 01:00 - 03.04.2022 02:00","6346","6341"
"03.04.2022 02:00 - 03.04.2022 03:00","6372","6452"
"03.04.2022 03:00 - 03.04.2022 04:00","6401","6459"
"03.04.2022 04:00 - 03.04.2022 05:00","6428","6477"
"03.04.2022 05:00 - 03.04.2022 06:00","6453","6525"
"03.04.2022 06:00 - 03.04.2022 07:00","6640","6677"
"03.04.2022 07:00 - 03.04.2022 08:00","6873","7038"
"03.04.2022 08:00 - 03.04.2022 09:00","7213","7428"
"03.04.2022 09:00 - 03.04.2022 10:00","7688","7823"
"03.04.2022 10:00 - 03.04.2022 11:00","7940","8170"
"03.04.2022 11:00 - 03.04.2022 12:00","7996","8335"
"03.04.2022 12:00 - 03.04.2022 13:00","7825","8068"
"03.04.2022 13:00 - 03.04.2022 14:00","7689","7866"
"03.04.2022 14:00 - 03.04.2022 15:00","7501","7789"
"03.04.2022 15:00 - 03.04.2022 16:00","7439","7735"
"03.04.2022 16:00 - 03.04.2022 17:00","7441","7702"
"03.04.2022 17:00 - 03.04.2022 18:00","7391","7689"
"03.04.2022 18:00 - 03.04.2022 19:00","7543","7789"
"03.04.2022 19:00 - 03.04.2022 20:00","7722","7983"
"03.04.2022 20:00 - 03.04.2022 21:00","7856","8141"
"03.04.2022 21:00 - 03.04.2022 22:00","7551","7841"
"03.04.2022 22:00 - 03.04.2022 23:00","7414","7610"
"03.04.2022 23:00 - 04.04.2022 00:00","7182","7307"
"04.04.2022 00:00 - 04.04.2022 01:00","7118","7076"
"04.04.2022 01:00 - 04.04.2022 02:00","7190","7144"
"04.04.2022 02:00 - 04.04.2022 03:00","7135","7123"
"04.04.2022 03:00 - 04.04.2022 04:00","7132","7119"
"04.04.2022 04:00 - 04.04.2022 05:00","7256","7234"
"04.04.2022 05:00 - 04.04.2022 06:00","7775","7777"
"04.04.2022 06:00 - 04.04.2022 07:00","8785","8921"
"04.04.2022 07:00 - 04.04.2022 08:00","9209","9420"
"04.04.2022 08:00 - 04.04.2022 09:00","9379","9485"
"04.04.2022 09:00 - 04.04.2022 10:00","9422","9592"
"04.04.2022 10:00 - 04.04.2022 11:00","9321","9396"
"04.04.2022 11:00 - 04.04.2022 12:00","9292","9397"
"04.04.2022 12:00 - 04.04.2022 13:00","9353","9403"
"04.04.2022 13:00 - 04.04.2022 14:00","9257","9321"
"04.04.2022 14:00 - 04.04.2022 15:00","8990","9040"
"04.04.2022 15:00 - 04.04.2022 16:00","8884","9001"
"04.04.2022 16:00 - 04.04.2022 17:00","8783","8852"
"04.04.2022 17:00 - 04.04.2022 18:00","8715","8858"
"04.04.2022 18:00 - 04.04.2022 19:00","8632","8791"
"04.04.2022 19:00 - 04.04.2022 20:00","8868","9058"
"04.04.2022 20:00 - 04.04.2022 21:00","8843","8930"
"04.04.2022 21:00 - 04.04.2022 22:00","8385","8445"
"04.04.2022 22:00 - 04.04.2022 23:00","7955","7966"
"04.04.2022 23:00 - 05.04.2022 00:00","7537","7560"
"05.04.2022 00:00 - 05.04.2022 01:00","7363","7199"
"05.04.2022 01:00 - 05.04.2022 02:00","7394","7178"
"05.04.2022 02:00 - 05.04.2022 03:00","7303","7127"
"05.04.2022 03:00 - 05.04.2022 04:00","7253","7106"
"05.04.2022 04:00 - 05.04.2022 05:00","7363","7234"
"05.04.2022 05:00 - 05.04.2022 06:00","7820","7759"
"05.04.2022 06:00 - 05.04.2022 07:00","8834","8827"
"05.04.2022 07:00 - 05.04.2022 08:00","9327","9355"
"05.04.2022 08:00 - 05.04.2022 09:00","9526","9538"
"05.04.2022 09:00 - 05.04.2022 10:00","9735","9746"
"05.04.2022 10:00 - 05.04.2022 11:00","9714","9626"
"05.04.2022 11:00 - 05.04.2022 12:00","9651","9539"
"05.04.2022 12:00 - 05.04.2022 13:00","9664","9601"
"05.04.2022 13:00 - 05.04.2022 14:00","9548","9495"
"05.04.2022 14:00 - 05.04.2022 15:00","9313","9216"
"05.04.2022 15:00 - 05.04.2022 16:00","9202","9184"
"05.04.2022 16:00 - 05.04.2022 17:00","9104","9107"
"05.04.2022 17:00 - 05.04.2022 18:00","9004","9121"
"05.04.2022 18:00 - 05.04.2022 19:00","8850","8935"
"05.04.2022 19:00 - 05.04.2022 20:00","8936","9014"
"05.04.2022 20:00 - 05.04.2022 21:00","8807","8761"
"05.04.2022 21:00 - 05.04.2022 22:00","8324","8236"
"05.04.2022 22:00 - 05.04.2022 23:00","7896","7757"
"05.04.2022 23:00 - 06.04.2022 00:00","7475","7326"
"06.04.2022 00:00 - 06.04.2022 01:00","7049","7003"
"06.04.2022 01:00 - 06.04.2022 02:00","7056","7012"
"06.04.2022 02:00 - 06.04.2022 03:00","6961","6926"
"06.04.2022 03:00 - 06.04.2022 04:00","6913","6890"
"06.04.2022 04:00 - 06.04.2022 05:00","7009","6975"
"06.04.2022 05:00 - 06.04.2022 06:00","7484","7483"
"06.04.2022 06:00 - 06.04.2022 07:00","8478","8544"
"06.04.2022 07:00 - 06.04.2022 08:00","8985","9016"
"06.04.2022 08:00 - 06.04.2022 09:00","9155","9174"
"06.04.2022 09:00 - 06.04.2022 10:00","9271","9293"
"06.04.2022 10:00 - 06.04.2022 11:00","9205","9147"
"06.04.2022 11:00 - 06.04.2022 12:00","9137","9125"
"06.04.2022 12:00 - 06.04.2022 13:00","9161","9139"
"06.04.2022 13:00 - 06.04.2022 14:00","9035","9080"
"06.04.2022 14:00 - 06.04.2022 15:00","8777","8853"
"06.04.2022 15:00 - 06.04.2022 16:00","8675","8771"
"06.04.2022 16:00 - 06.04.2022 17:00","8532","8653"
"06.04.2022 17:00 - 06.04.2022 18:00","8436","8490"
"06.04.2022 18:00 - 06.04.2022 19:00","8315","8320"
"06.04.2022 19:00 - 06.04.2022 20:00","8445","8519"
"06.04.2022 20:00 - 06.04.2022 21:00","8432","8470"
"06.04.2022 21:00 - 06.04.2022 22:00","7979","8024"
"06.04.2022 22:00 - 06.04.2022 23:00","7580","7617"
"06.04.2022 23:00 - 07.04.2022 00:00","7171","7203"
"07.04.2022 00:00 - 07.04.2022 01:00","6849","6870"
"07.04.2022 01:00 - 07.04.2022 02:00","6875","6868"
"07.04.2022 02:00 - 07.04.2022 03:00","6778","6816"
"07.04.2022 03:00 - 07.04.2022 04:00","6736","6800"
"07.04.2022 04:00 - 07.04.2022 05:00","6826","6900"
"07.04.2022 05:00 - 07.04.2022 06:00","7307","7348"
"07.04.2022 06:00 - 07.04.2022 07:00","8310","8319"
"07.04.2022 07:00 - 07.04.2022 08:00","8792","8767"
"07.04.2022 08:00 - 07.04.2022 09:00","8956","8908"
"07.04.2022 09:00 - 07.04.2022 10:00","9029","9038"
"07.04.2022 10:00 - 07.04.2022 11:00","8888","8971"
"07.04.2022 11:00 - 07.04.2022 12:00","8872","8967"
"07.04.2022 12:00 - 07.04.2022 13:00","8912","8895"
"07.04.2022 13:00 - 07.04.2022 14:00","8801","8789"
"07.04.2022 14:00 - 07.04.2022 15:00","8538","8612"
"07.04.2022 15:00 - 07.04.2022 16:00","8486","8610"
"07.04.2022 16:00 - 07.04.2022 17:00","8432","8569"
"07.04.2022 17:00 - 07.04.2022 18:00","8398","8545"
"07.04.2022 18:00 - 07.04.2022 19:00","8336","8396"
"07.04.2022 19:00 - 07.04.2022 20:00","8464","8501"
"07.04.2022 20:00 - 07.04.2022 21:00","8370","8327"
"07.04.2022 21:00 - 07.04.2022 22:00","7894","7938"
"07.04.2022 22:00 - 07.04.2022 23:00","7478","7523"
"07.04.2022 23:00 - 08.04.2022 00:00","7050","7109"
"08.04.2022 00:00 - 08.04.2022 01:00","6756","6802"
"08.04.2022 01:00 - 08.04.2022 02:00","6781","6805"
"08.04.2022 02:00 - 08.04.2022 03:00","6708","6714"
"08.04.2022 03:00 - 08.04.2022 04:00","6687","6682"
"08.04.2022 04:00 - 08.04.2022 05:00","6774","6801"
"08.04.2022 05:00 - 08.04.2022 06:00","7212","7296"
"08.04.2022 06:00 - 08.04.2022 07:00","8141","8272"
"08.04.2022 07:00 - 08.04.2022 08:00","8634","8699"
"08.04.2022 08:00 - 08.04.2022 09:00","8843","8783"
"08.04.2022 09:00 - 08.04.2022 10:00","8945","8944"
"08.04.2022 10:00 - 08.04.2022 11:00","8870","8885"
"08.04.2022 11:00 - 08.04.2022 12:00","8892","8856"
"08.04.2022 12:00 - 08.04.2022 13:00","8860","8817"
"08.04.2022 13:00 - 08.04.2022 14:00","8735","8753"
"08.04.2022 14:00 - 08.04.2022 15:00","8506","8530"
"08.04.2022 15:00 - 08.04.2022 16:00","8465","8574"
"08.04.2022 16:00 - 08.04.2022 17:00","8407","8566"
"08.04.2022 17:00 - 08.04.2022 18:00","8335","8604"
"08.04.2022 18:00 - 08.04.2022 19:00","8215","8380"
"08.04.2022 19:00 - 08.04.2022 20:00","8294","8404"
"08.04.2022 20:00 - 08.04.2022 21:00","8077","8107"
"08.04.2022 21:00 - 08.04.2022 22:00","7597","7588"
"08.04.2022 22:00 - 08.04.2022 23:00","7188","7082"
"08.04.2022 23:00 - 09.04.2022 00:00","6771","6661"
"09.04.2022 00:00 - 09.04.2022 01:00","6253","6278"
"09.04.2022 01:00 - 09.04.2022 02:00","6176","6119"
"09.04.2022 02:00 - 09.04.2022 03:00","6156","6112"
"09.04.2022 03:00 - 09.04.2022 04:00","6150","6205"
"09.04.2022 04:00 - 09.04.2022 05:00","6203","6236"
"09.04.2022 05:00 - 09.04.2022 06:00","6309","6319"
"09.04.2022 06:00 - 09.04.2022 07:00","6563","6559"
"09.04.2022 07:00 - 09.04.2022 08:00","6979","7021"
"09.04.2022 08:00 - 09.04.2022 09:00","7353","7455"
"09.04.2022 09:00 - 09.04.2022 10:00","7808","7842"
"09.04.2022 10:00 - 09.04.2022 11:00","8041","8106"
"09.04.2022 11:00 - 09.04.2022 12:00","8100","8195"
"09.04.2022 12:00 - 09.04.2022 13:00","7936","7977"
"09.04.2022 13:00 - 09.04.2022 14:00","7762","7752"
"09.04.2022 14:00 - 09.04.2022 15:00","7512","7634"
"09.04.2022 15:00 - 09.04.2022 16:00","7453","7546"
"09.04.2022 16:00 - 09.04.2022 17:00","7336","7403"
"09.04.2022 17:00 - 09.04.2022 18:00","7211","7217"
"09.04.2022 18:00 - 09.04.2022 19:00","7194","7195"
"09.04.2022 19:00 - 09.04.2022 20:00","7256","7233"
"09.04.2022 20:00 - 09.04.2022 21:00","7276","7332"
"09.04.2022 21:00 - 09.04.2022 22:00","6957","7039"
"09.04.2022 22:00 - 09.04.2022 23:00","6725","6791"
"09.04.2022 23:00 - 10.04.2022 00:00","6433","6467"
"10.04.2022 00:00 - 10.04.2022 01:00","6158","6047"
"10.04.2022 01:00 - 10.04.2022 02:00","6071","5972"
"10.04.2022 02:00 - 10.04.2022 03:00","6088","6090"
"10.04.2022 03:00 - 10.04.2022 04:00","6118","6060"
"10.04.2022 04:00 - 10.04.2022 05:00","6120","6064"
"10.04.2022 05:00 - 10.04.2022 06:00","6124","6110"
"10.04.2022 06:00 - 10.04.2022 07:00","6281","6241"
"10.04.2022 07:00 - 10.04.2022 08:00","6650","6631"
"10.04.2022 08:00 - 10.04.2022 09:00","6988","7016"
"10.04.2022 09:00 - 10.04.2022 10:00","7441","7403"
"10.04.2022 10:00 - 10.04.2022 11:00","7728","7777"
"10.04.2022 11:00 - 10.04.2022 12:00","7817","7980"
"10.04.2022 12:00 - 10.04.2022 13:00","7616","7739"
"10.04.2022 13:00 - 10.04.2022 14:00","7495","7583"
"10.04.2022 14:00 - 10.04.2022 15:00","7329","7522"
"10.04.2022 15:00 - 10.04.2022 16:00","7304","7472"
"10.04.2022 16:00 - 10.04.2022 17:00","7219","7324"
"10.04.2022 17:00 - 10.04.2022 18:00","7191","7213"
"10.04.2022 18:00 - 10.04.2022 19:00","7297","7269"
"10.04.2022 19:00 - 10.04.2022 20:00","7440","7525"
"10.04.2022 20:00 - 10.04.2022 21:00","7647","7696"
"10.04.2022 21:00 - 10.04.2022 22:00","7346","7436"
"10.04.2022 22:00 - 10.04.2022 23:00","7229","7229"
"10.04.2022 23:00 - 11.04.2022 00:00","6962","6937"
"11.04.2022 00:00 - 11.04.2022 01:00","6823","6717"
"11.04.2022 01:00 - 11.04.2022 02:00","6861","6763"
"11.04.2022 02:00 - 11.04.2022 03:00","6788","6755"
"11.04.2022 03:00 - 11.04.2022 04:00","6761","6746"
"11.04.2022 04:00 - 11.04.2022 05:00","6869","6888"
"11.04.2022 05:00 - 11.04.2022 06:00","7394","7478"
"11.04.2022 06:00 - 11.04.2022 07:00","8409","8544"
"11.04.2022 07:00 - 11.04.2022 08:00","8900","9011"
"11.04.2022 08:00 - 11.04.2022 09:00","9048","9075"
"11.04.2022 09:00 - 11.04.2022 10:00","9119","9155"
"11.04.2022 10:00 - 11.04.2022 11:00","9026","8960"
"11.04.2022 11:00 - 11.04.2022 12:00","9032","8931"
"11.04.2022 12:00 - 11.04.2022 13:00","9068","8986"
"11.04.2022 13:00 - 11.04.2022 14:00","8959","8849"
"11.04.2022 14:00 - 11.04.2022 15:00","8708","8629"
"11.04.2022 15:00 - 11.04.2022 16:00","8608","8571"
"11.04.2022 16:00 - 11.04.2022 17:00","8478","8451"
"11.04.2022 17:00 - 11.04.2022 18:00","8352","8334"
"11.04.2022 18:00 - 11.04.2022 19:00","8230","8215"
"11.04.2022 19:00 - 11.04.2022 20:00","8428","8402"
"11.04.2022 20:00 - 11.04.2022 21:00","8534","8500"
"11.04.2022 21:00 - 11.04.2022 22:00","8103","8085"
"11.04.2022 22:00 - 11.04.2022 23:00","7710","7628"
"11.04.2022 23:00 - 12.04.2022 00:00","7316","7236"
"12.04.2022 00:00 - 12.04.2022 01:00","7028","6980"
"12.04.2022 01:00 - 12.04.2022 02:00","7076","7028"
"12.04.2022 02:00 - 12.04.2022 03:00","7002","7006"
"12.04.2022 03:00 - 12.04.2022 04:00","6989","6996"
"12.04.2022 04:00 - 12.04.2022 05:00","7115","7168"
"12.04.2022 05:00 - 12.04.2022 06:00","7633","7680"
"12.04.2022 06:00 - 12.04.2022 07:00","8641","8650"
"12.04.2022 07:00 - 12.04.2022 08:00","9034","9143"
"12.04.2022 08:00 - 12.04.2022 09:00","9131","9134"
"12.04.2022 09:00 - 12.04.2022 10:00","9146","9058"
"12.04.2022 10:00 - 12.04.2022 11:00","9029","8881"
"12.04.2022 11:00 - 12.04.2022 12:00","8949","8822"
"12.04.2022 12:00 - 12.04.2022 13:00","8938","8858"
"12.04.2022 13:00 - 12.04.2022 14:00","8801","8722"
"12.04.2022 14:00 - 12.04.2022 15:00","8532","8456"
"12.04.2022 15:00 - 12.04.2022 16:00","8435","8370"
"12.04.2022 16:00 - 12.04.2022 17:00","8334","8221"
"12.04.2022 17:00 - 12.04.2022 18:00","8191","8166"
"12.04.2022 18:00 - 12.04.2022 19:00","8123","8121"
"12.04.2022 19:00 - 12.04.2022 20:00","8374","8411"
"12.04.2022 20:00 - 12.04.2022 21:00","8505","8456"
"12.04.2022 21:00 - 12.04.2022 22:00","8066","8013"
"12.04.2022 22:00 - 12.04.2022 23:00","7645","7580"
"12.04.2022 23:00 - 13.04.2022 00:00","7246","7209"
"13.04.2022 00:00 - 13.04.2022 01:00","6899","6904"
"13.04.2022 01:00 - 13.04.2022 02:00","6931","6893"
"13.04.2022 02:00 - 13.04.2022 03:00","6851","6843"
"13.04.2022 03:00 - 13.04.2022 04:00","6831","6846"
"13.04.2022 04:00 - 13.04.2022 05:00","6943","6904"
"13.04.2022 05:00 - 13.04.2022 06:00","7435","7400"
"13.04.2022 06:00 - 13.04.2022 07:00","8419","8354"
"13.04.2022 07:00 - 13.04.2022 08:00","8858","8785"
"13.04.2022 08:00 - 13.04.2022 09:00","8916","8839"
"13.04.2022 09:00 - 13.04.2022 10:00","8911","8831"
"13.04.2022 10:00 - 13.04.2022 11:00","8815","8653"
"13.04.2022 11:00 - 13.04.2022 12:00","8748","8634"
"13.04.2022 12:00 - 13.04.2022 13:00","8766","8707"
"13.04.2022 13:00 - 13.04.2022 14:00","8617","8579"
"13.04.2022 14:00 - 13.04.2022 15:00","8341","8337"
"13.04.2022 15:00 - 13.04.2022 16:00","8255","8254"
"13.04.2022 16:00 - 13.04.2022 17:00","8143","8114"
"13.04.2022 17:00 - 13.04.2022 18:00","8034","8051"
"13.04.2022 18:00 - 13.04.2022 19:00","7983","7942"
"13.04.2022 19:00 - 13.04.2022 20:00","8145","8154"
"13.04.2022 20:00 - 13.04.2022 21:00","8294","8241"
"13.04.2022 21:00 - 13.04.2022 22:00","7869","7807"
"13.04.2022 22:00 - 13.04.2022 23:00","7456","7355"
"13.04.2022 23:00 - 14.04.2022 00:00","7042","6940"
"14.04.2022 00:00 - 14.04.2022 01:00","6726","6530"
"14.04.2022 01:00 - 14.04.2022 02:00","6731","6512"
"14.04.2022 02:00 - 14.04.2022 03:00","6648","6445"
"14.04.2022 03:00 - 14.04.2022 04:00","6620","6407"
"14.04.2022 04:00 - 14.04.2022 05:00","6703","6504"
"14.04.2022 05:00 - 14.04.2022 06:00","7172","6936"
"14.04.2022 06:00 - 14.04.2022 07:00","8150","7754"
"14.04.2022 07:00 - 14.04.2022 08:00","8590","8198"
"14.04.2022 08:00 - 14.04.2022 09:00","8718","8322"
"14.04.2022 09:00 - 14.04.2022 10:00","8744","8427"
"14.04.2022 10:00 - 14.04.2022 11:00","8652","8375"
"14.04.2022 11:00 - 14.04.2022 12:00","8611","8374"
"14.04.2022 12:00 - 14.04.2022 13:00","8634","8331"
"14.04.2022 13:00 - 14.04.2022 14:00","8491","8164"
"14.04.2022 14:00 - 14.04.2022 15:00","8229","7907"
"14.04.2022 15:00 - 14.04.2022 16:00","8152","7811"
"14.04.2022 16:00 - 14.04.2022 17:00","8048","7704"
"14.04.2022 17:00 - 14.04.2022 18:00","7968","7625"
"14.04.2022 18:00 - 14.04.2022 19:00","7911","7464"
"14.04.2022 19:00 - 14.04.2022 20:00","8073","7547"
"14.04.2022 20:00 - 14.04.2022 21:00","8161","7585"
"14.04.2022 21:00 - 14.04.2022 22:00","7725","7151"
"14.04.2022 22:00 - 14.04.2022 23:00","7331","6665"
"14.04.2022 23:00 - 15.04.2022 00:00","6918","6241"
"15.04.2022 00:00 - 15.04.2022 01:00","6153","5827"
"15.04.2022 01:00 - 15.04.2022 02:00","5996","5705"
"15.04.2022 02:00 - 15.04.2022 03:00","5974","5662"
"15.04.2022 03:00 - 15.04.2022 04:00","6004","5675"
"15.04.2022 04:00 - 15.04.2022 05:00","6022","5687"
"15.04.2022 05:00 - 15.04.2022 06:00","6056","5735"
"15.04.2022 06:00 - 15.04.2022 07:00","6180","5870"
"15.04.2022 07:00 - 15.04.2022 08:00","6586","6239"
"15.04.2022 08:00 - 15.04.2022 09:00","6928","6593"
"15.04.2022 09:00 - 15.04.2022 10:00","7302","6894"
"15.04.2022 10:00 - 15.04.2022 11:00","7549","7162"
"15.04.2022 11:00 - 15.04.2022 12:00","7677","7312"
"15.04.2022 12:00 - 15.04.2022 13:00","7587","7212"
"15.04.2022 13:00 - 15.04.2022 14:00","7453","7132"
"15.04.2022 14:00 - 15.04.2022 15:00","7336","7014"
"15.04.2022 15:00 - 15.04.2022 16:00","7277","6953"
"15.04.2022 16:00 - 15.04.2022 17:00","7151","6874"
"15.04.2022 17:00 - 15.04.2022 18:00","7034","6729"
"15.04.2022 18:00 - 15.04.2022 19:00","7002","6704"
"15.04.2022 19:00 - 15.04.2022 20:00","7094","6763"
"15.04.2022 20:00 - 15.04.2022 21:00","7211","6832"
"15.04.2022 21:00 - 15.04.2022 22:00","6895","6513"
"15.04.2022 22:00 - 15.04.2022 23:00","6626","6205"
"15.04.2022 23:00 - 16.04.2022 00:00","6256","5895"
"16.04.2022 00:00 - 16.04.2022 01:00","6000","5515"
"16.04.2022 01:00 - 16.04.2022 02:00","5902","5411"
"16.04.2022 02:00 - 16.04.2022 03:00","5882","5425"
"16.04.2022 03:00 - 16.04.2022 04:00","5891","5507"
"16.04.2022 04:00 - 16.04.2022 05:00","5922","5507"
"16.04.2022 05:00 - 16.04.2022 06:00","5994","5606"
"16.04.2022 06:00 - 16.04.2022 07:00","6243","5817"
"16.04.2022 07:00 - 16.04.2022 08:00","6632","6248"
"16.04.2022 08:00 - 16.04.2022 09:00","7012","6753"
"16.04.2022 09:00 - 16.04.2022 10:00","7425","7115"
"16.04.2022 10:00 - 16.04.2022 11:00","7643","7469"
"16.04.2022 11:00 - 16.04.2022 12:00","7736","7585"
"16.04.2022 12:00 - 16.04.2022 13:00","7588","7390"
"16.04.2022 13:00 - 16.04.2022 14:00","7435","7200"
"16.04.2022 14:00 - 16.04.2022 15:00","7215","7065"
"16.04.2022 15:00 - 16.04.2022 16:00","7119","6962"
"16.04.2022 16:00 - 16.04.2022 17:00","6992","6825"
"16.04.2022 17:00 - 16.04.2022 18:00","6848","6581"
"16.04.2022 18:00 - 16.04.2022 19:00","6827","6555"
"16.04.2022 19:00 - 16.04.2022 20:00","6928","6631"
"16.04.2022 20:00 - 16.04.2022 21:00","7089","6796"
"16.04.2022 21:00 - 16.04.2022 22:00","6776","6553"
"16.04.2022 22:00 - 16.04.2022 23:00","6545","6333"
"16.04.2022 23:00 - 17.04.2022 00:00","6251","6082"
"17.04.2022 00:00 - 17.04.2022 01:00","5934","5702"
"17.04.2022 01:00 - 17.04.2022 02:00","5850","5629"
"17.04.2022 02:00 - 17.04.2022 03:00","5871","5713"
"17.04.2022 03:00 - 17.04.2022 04:00","5890","5702"
"17.04.2022 04:00 - 17.04.2022 05:00","5895","5707"
"17.04.2022 05:00 - 17.04.2022 06:00","5889","5719"
"17.04.2022 06:00 - 17.04.2022 07:00","6026","5818"
"17.04.2022 07:00 - 17.04.2022 08:00","6366","6182"
"17.04.2022 08:00 - 17.04.2022 09:00","6726","6527"
"17.04.2022 09:00 - 17.04.2022 10:00","7128","6886"
"17.04.2022 10:00 - 17.04.2022 11:00","7383","7108"
"17.04.2022 11:00 - 17.04.2022 12:00","7451","7184"
"17.04.2022 12:00 - 17.04.2022 13:00","7231","6938"
"17.04.2022 13:00 - 17.04.2022 14:00","7063","6805"
"17.04.2022 14:00 - 17.04.2022 15:00","6881","6697"
"17.04.2022 15:00 - 17.04.2022 16:00","6821","6606"
"17.04.2022 16:00 - 17.04.2022 17:00","6771","6463"
"17.04.2022 17:00 - 17.04.2022 18:00","6707","6335"
"17.04.2022 18:00 - 17.04.2022 19:00","6859","6321"
"17.04.2022 19:00 - 17.04.2022 20:00","7062","6468"
"17.04.2022 20:00 - 17.04.2022 21:00","7407","6700"
"17.04.2022 21:00 - 17.04.2022 22:00","7121","6529"
